Province/State,confirmed,recovered,deaths
Anhui,990,873,6
Beijing,413,276,8
Chongqing,576,450,6
Fujian,296,247,1
Gansu,91,84,2
Guangdong,1349,1016,7
Guangxi,252,181,2
Guizhou,146,112,2
Hainan,168,149,5
Hebei,318,294,6
Heilongjiang,480,342,13
Henan,1272,1198,22
Hubei,66907,31536,2761
Hunan,1018,866,4
Inner Mongolia,75,52,0
Jiangsu,631,536,0
Jiangxi,935,831,1
Jilin,93,78,1
Liaoning,122,103,1
Ningxia,73,69,0
Qinghai,18,18,0
Shaanxi,245,208,1
Shandong,758,443,6
Shanghai,337,290,3
Shanxi,133,116,0
Sichuan,538,365,3
Tianjin,136,111,3
Tibet,1,1,0
Xinjiang,76,64,3
Yunnan,174,163,2
Zhejiang,1205,1046,1
